,under15,15_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85up,Male,Female,never_mar,married,mar_apart,widowed,divorced,lt_hs,some_hs,hs_grad,some_col,assoc_dec,ba_deg,grad_deg,not_in_labor_force,employed,unemployed,below_pov_level,at_above_pov_level,Overdose,No_overdose,Insured,Uninsured,Veteran,Not_veteran,FIPS
"Sussex County, New Jersey",0.162440793,0.043029417,0.085384194,0.052101927,0.050113143,0.055425937,0.058953745,0.077991258,0.089467175,0.089685027,0.074554808,0.060176531,0.041300651,0.026339091,0.016676271,0.016360033,0.497055475,0.502944525,0.401931159,0.446478517,0.025833111,0.046999958,0.078757256,0.17349506,0.078672926,0.24868937,0.169728317,0.067260257,0.180698253,0.081455818,0.420849204,0.544969009,0.034181788,0.057646629,0.942353371,7.73E-05,0.999922697,0.94354102,0.05645898,0.054182069,0.945817931,34037
"Union County, New Jersey",0.195549898,0.040159764,0.085984313,0.06278455,0.065068184,0.070156184,0.067745983,0.072123399,0.074417881,0.070036849,0.056938955,0.045224259,0.032101051,0.022142023,0.018898287,0.020668419,0.48719321,0.51280679,0.495660554,0.350657968,0.040660608,0.048489692,0.064531177,0.24965194,0.090692612,0.220800049,0.144785613,0.043982093,0.153981622,0.096106071,0.443983177,0.520267021,0.035749802,0.099649951,0.900350049,0.000220589,0.999779411,0.888282773,0.111717227,0.027027516,0.972972484,34039
"Warren County, New Jersey",0.162832924,0.041432644,0.086421495,0.055271749,0.051527382,0.054537928,0.06023915,0.076712483,0.085885242,0.08589465,0.067680844,0.057520251,0.039823883,0.028496703,0.019013482,0.026709191,0.488611668,0.511388332,0.411428786,0.422812415,0.029070588,0.057492027,0.079196184,0.191339035,0.085311356,0.249235603,0.167028873,0.068499337,0.160697318,0.077888478,0.4304799,0.533318281,0.036201819,0.077276961,0.922723039,NA,NA,0.92967552,0.07032448,0.052646929,0.947353071,34041
"Albany County, New York",0.152570049,0.034128538,0.148071406,0.065859752,0.064483811,0.059084137,0.054035768,0.060996793,0.067996851,0.067860233,0.06417154,0.052698861,0.037846506,0.025209319,0.020935119,0.024051316,0.484376728,0.515623272,0.508174325,0.330876374,0.032947766,0.050161665,0.07783987,0.169757925,0.076193946,0.199039769,0.165015321,0.085191233,0.166797864,0.138003942,0.433997125,0.53941111,0.026591765,0.124358382,0.875641618,NA,NA,0.958246863,0.041753137,0.049608686,0.950391314,36001
"Allegany County, New York",0.166634769,0.037214248,0.154896332,0.051121744,0.050122275,0.050228602,0.04861244,0.056140351,0.064284955,0.074896332,0.066283892,0.061477937,0.041935141,0.03143009,0.021116427,0.023604466,0.505156831,0.494843169,0.446549708,0.376076555,0.034641148,0.055566188,0.087166401,0.190707071,0.089867092,0.264157363,0.218330675,0.100287081,0.069920255,0.066730463,0.520510367,0.451738437,0.027751196,0.158447634,0.841552366,NA,NA,0.942881446,0.057118554,0.077703349,0.922296651,36003
"Bronx County, New York",0.210466578,0.040654523,0.106167308,0.084617407,0.073263128,0.065927982,0.060586061,0.063813052,0.065172004,0.057749229,0.050243693,0.038473522,0.029332931,0.022879644,0.015004813,0.015648124,0.470808945,0.529191055,0.592747477,0.204050847,0.087176745,0.043572724,0.072452207,0.304668288,0.149979275,0.206582366,0.149678135,0.053194582,0.090206221,0.045691132,0.521899724,0.426729918,0.051370358,0.28866269,0.71133731,0.00021351,0.99978649,0.913225934,0.086774066,0.018211635,0.981788365,36005
"Broome County, New York",0.159746299,0.035524326,0.141413154,0.057375953,0.054320429,0.053163033,0.04886781,0.057586856,0.067756505,0.073584634,0.06742729,0.054449028,0.041491343,0.033667349,0.023297085,0.030328906,0.49180564,0.50819436,0.468122756,0.350366766,0.033605621,0.055755599,0.092149258,0.179010504,0.092807687,0.242044835,0.181952861,0.096531929,0.120590323,0.087061862,0.500169751,0.466713305,0.033116943,0.171608317,0.828391683,NA,NA,0.947685723,0.052314277,0.060992171,0.939007829,36007
"Cattaraugus County, New York",0.18489818,0.039595294,0.092886749,0.053793476,0.054488582,0.050189223,0.057680921,0.061555493,0.072844528,0.077813248,0.072677188,0.056972942,0.046507736,0.034240404,0.02125222,0.022603815,0.495468939,0.504531061,0.43807121,0.376876142,0.032940298,0.056818474,0.095293875,0.216074968,0.100854723,0.304984167,0.150799372,0.092397601,0.076242824,0.058646346,0.522951368,0.446566949,0.030481683,0.163156811,0.836843189,NA,NA,0.935110573,0.064889427,0.079911438,0.920088562,36009
"Cayuga County, New York",0.162287461,0.038398315,0.086235681,0.062734371,0.061141933,0.058766117,0.05695536,0.066766836,0.075358299,0.081227205,0.072147737,0.059421072,0.042687625,0.026095444,0.023668259,0.026108286,0.513458674,0.486541326,0.423485899,0.369535624,0.049648122,0.059562336,0.097768018,0.186726255,0.116312221,0.263432989,0.166615298,0.10230133,0.100760261,0.063851646,0.491524118,0.48015873,0.028317152,0.118174346,0.881825654,NA,NA,0.952239688,0.047760312,0.068500539,0.931499461,36011
"Chautauqua County, New York",0.168036959,0.038262788,0.100650953,0.06075307,0.055577837,0.050749676,0.054251249,0.060652804,0.070771889,0.079942309,0.07009317,0.063174863,0.041764361,0.035293392,0.023438946,0.026585735,0.493305362,0.506694638,0.434819831,0.371205343,0.034020793,0.059195101,0.100758931,0.196080397,0.100219041,0.277580675,0.166178195,0.102116369,0.089999691,0.067825631,0.519065836,0.44813198,0.032802184,0.177454186,0.822545814,NA,NA,0.945139446,0.054860554,0.065265009,0.934734991,36013
